area_m2,floor_level,subway_dist_m,building_age,room_count,bathroom_count,school_score,parking_spots,mgmt_fee_krw,price_100m_krw
42.8,11,878,12,1,1,67.2,0,155594,3.197
95.6,19,1041,31,4,2,93.1,3,190911,6.746
85.5,3,856,1,3,2,71.5,2,214005,6.176
87.3,20,981,25,3,2,42.1,3,148229,5.406
77.8,12,535,11,3,2,56.4,2,184995,5.33
106.7,13,104,27,4,3,99.2,3,281396,8.547
95.9,18,713,9,3,2,97.6,3,283877,7.875
80.6,6,1893,15,3,1,69.4,2,179149,4.547
67.7,9,328,33,2,1,66.2,2,105420,4.538
52.7,10,80,15,2,1,65.9,1,159285,4.201
75.0,4,377,10,3,2,55.9,2,146358,5.387
78.4,7,645,25,3,2,88.6,2,88595,5.964
87.0,4,754,12,3,3,75.5,2,58940,6.624
112.4,14,860,14,4,3,88.1,3,87033,8.63
67.4,2,397,22,2,1,74.9,1,111774,4.608
74.6,23,662,31,3,2,54.2,3,139476,5.135
122.0,13,1148,29,4,2,83.9,3,224677,7.874
73.0,7,660,1,2,2,58.3,1,284006,4.873
95.9,15,735,13,3,2,78.2,3,136428,7.224
51.4,12,957,11,2,1,60.6,1,187782,3.73
109.7,1,255,14,4,3,67.6,3,216990,7.978
112.1,15,477,17,4,3,84.1,3,216478,8.642
82.2,23,799,1,3,2,74.4,2,100465,7.32
84.2,10,910,16,3,2,57.2,2,104327,5.876
104.3,1,1104,15,4,3,80.4,3,219859,7.324
99.7,6,689,21,3,2,70.7,3,125023,6.611
108.0,6,604,21,4,3,48.2,4,113107,7.212
89.1,7,1036,25,3,2,56.9,2,219554,4.966
110.9,17,505,17,4,3,75.4,3,198770,8.47
39.9,4,635,2,2,2,72.6,1,126111,3.983
103.2,11,661,33,4,3,80.8,4,50000,7.458
94.7,3,790,29,3,2,85.1,2,97197,6.424
69.1,16,539,25,2,2,59.4,2,185656,4.533
79.8,20,579,19,3,2,64.5,2,167566,5.924
40.0,18,1186,13,1,1,73.0,1,201838,2.878
63.1,5,631,13,3,2,81.3,2,172486,5.485
82.7,1,1358,1,3,2,57.8,2,274344,5.18
111.4,12,1459,15,4,3,74.1,3,174212,7.473
104.8,4,445,21,4,3,85.5,3,118137,7.968
106.9,14,80,14,4,3,55.7,3,161514,7.883
36.0,16,533,25,1,1,87.2,2,223567,3.093
59.9,16,1415,29,2,1,81.9,1,113609,4.065
79.1,13,639,20,4,3,90.7,4,215586,6.504
46.1,8,1169,13,1,1,81.4,1,141415,3.247
69.6,8,811,29,2,2,73.3,2,112537,4.883
100.0,24,1023,11,4,3,86.5,3,113911,8.31
65.3,2,648,15,3,2,90.6,3,217267,5.416
115.7,11,1077,21,4,3,54.1,4,156825,7.839
72.2,10,345,10,2,1,87.2,1,79360,6.164
69.7,18,658,15,3,2,85.2,1,283699,5.552
109.1,11,735,8,5,3,71.8,4,64130,8.448
40.4,14,594,34,2,2,82.3,2,162323,3.335
99.7,11,1092,11,4,2,90.6,3,109363,7.787
29.6,6,320,6,1,1,67.0,1,168284,3.11
73.5,10,620,19,2,1,87.4,2,158737,5.705
83.1,13,838,11,3,2,72.1,3,197933,6.133
83.6,10,311,8,3,2,100.0,2,77229,7.429
103.4,16,967,13,4,3,89.7,3,245527,7.961
119.4,12,659,6,4,3,85.2,3,196053,9.362
91.5,2,518,1,3,2,91.1,2,248964,7.492
60.9,14,409,27,2,1,76.6,2,124082,4.43
82.3,17,583,30,3,2,53.5,2,186465,5.007
92.8,14,1133,7,3,2,71.2,2,165342,6.539
63.9,1,1108,13,2,2,99.9,2,95875,5.1
100.3,5,620,11,4,3,75.1,4,139684,7.875
92.9,7,1449,3,3,2,65.6,3,242289,6.388
94.2,12,1174,6,4,3,63.6,3,195157,6.944
38.0,3,80,14,1,1,66.8,1,126919,3.262
71.4,7,658,9,3,2,98.9,3,143590,6.406
47.0,9,1031,28,2,1,96.2,1,295939,3.493
119.3,15,443,10,5,4,68.3,4,132220,9.256
68.6,24,293,13,3,2,49.5,3,103891,5.977
73.3,27,389,23,3,2,84.1,2,298348,6.025
79.9,20,1038,9,2,2,80.3,2,144157,6.474
97.4,2,1506,33,3,2,69.0,2,155017,5.152
73.3,5,504,1,2,2,62.1,1,245263,5.417
105.1,22,923,36,4,3,80.1,3,263482,6.706
75.7,12,470,31,3,3,76.0,3,203806,5.575
60.2,20,592,18,1,1,97.6,1,114851,5.49
73.2,9,657,21,2,1,66.2,2,176351,5.013
120.0,16,778,12,4,3,71.8,3,186663,8.441
98.7,12,851,14,4,2,80.2,3,275131,7.045
85.5,4,604,1,4,3,76.8,3,50000,7.14
150.1,2,618,5,5,4,90.6,3,148346,11.423
90.7,9,405,17,3,1,89.8,2,243189,6.826
119.8,1,935,1,4,3,76.5,3,257357,8.513
54.6,7,395,13,2,1,77.7,2,176873,4.662
71.1,15,802,17,3,2,86.6,3,224301,5.902
69.8,6,951,27,2,2,98.6,2,110123,5.068
83.3,15,610,28,3,2,82.0,2,164694,5.802
106.2,14,946,16,4,3,78.5,3,199643,7.893
61.9,8,380,13,2,2,78.0,2,125792,5.717
145.2,4,206,13,6,4,81.2,5,275252,11.218
96.6,9,1067,29,3,2,79.7,2,194549,5.796
105.5,7,751,21,4,3,86.1,3,248345,7.773
90.6,16,518,1,3,2,82.9,2,188273,7.338
62.6,6,808,11,2,1,76.9,2,165173,4.701
117.0,5,174,21,5,4,71.4,4,229297,8.444
45.7,16,80,17,1,1,78.9,0,209530,4.176
99.2,15,1498,13,3,2,68.4,2,91472,6.442
69.3,13,347,22,2,1,93.1,1,189151,5.544
101.7,6,1166,22,3,3,65.6,3,132178,6.286
90.4,1,1783,19,3,2,82.7,3,69470,5.761
103.9,14,844,14,4,3,95.9,3,72992,8.521
97.2,9,609,9,3,2,78.8,2,244225,7.363
73.5,15,511,35,3,2,93.6,3,218396,5.731
86.0,11,544,23,3,2,88.5,2,171303,6.464
85.8,21,1083,1,3,2,88.4,3,131002,7.349
66.1,4,155,13,3,2,76.5,3,159704,5.517
123.2,16,845,19,4,3,100.0,4,107252,9.527
33.9,1,1033,42,1,1,75.1,2,263373,1.5
60.5,3,1199,1,2,1,73.6,2,181013,4.526
75.6,6,329,20,3,2,76.5,3,208003,5.797
92.5,3,659,33,4,3,70.9,4,135036,6.183
129.6,1,737,16,4,3,73.6,4,89967,9.089
98.9,9,901,25,4,3,76.4,3,166161,6.935
72.0,3,928,18,3,2,86.0,2,124255,5.421
91.4,1,1107,1,3,2,100.0,3,166998,7.475
85.7,17,433,32,3,2,49.8,3,169673,5.428
60.8,10,854,18,3,2,67.8,2,215713,4.32
99.8,14,473,22,4,3,66.8,4,278773,7.245
94.2,12,1337,8,3,2,67.2,3,178908,6.292
55.0,1,837,13,2,2,73.2,1,207862,3.756
119.9,11,1222,32,5,4,73.7,3,107586,7.906
58.4,23,891,17,2,1,62.9,1,214167,4.23
86.2,1,573,14,3,3,67.5,1,124919,5.926
68.3,10,1094,12,2,1,48.4,1,293288,3.747
66.6,3,769,33,2,1,91.3,1,78823,4.447
75.9,5,570,20,3,2,71.1,3,201653,5.252
90.0,6,993,17,4,3,75.8,3,249837,6.314
90.4,11,689,21,3,2,89.2,3,194995,6.973
109.9,8,542,10,4,2,99.7,4,195954,8.664
72.3,18,80,12,3,2,69.3,3,262154,6.546
64.0,7,497,25,2,1,65.0,2,137823,3.984
91.2,14,579,7,3,2,49.0,2,148292,6.687
47.2,10,527,8,1,1,76.8,1,252028,4.119
134.2,7,258,1,4,3,87.2,3,202135,10.429
84.7,4,80,11,3,2,83.9,2,91036,6.912
55.7,16,564,23,2,1,65.3,1,201438,3.776
64.9,24,922,14,2,2,77.2,2,146868,5.63
94.0,11,287,22,4,3,100.0,3,259080,7.643
115.4,7,1061,10,4,3,66.6,3,156009,8.139
37.8,8,603,8,2,1,51.1,2,144965,3.286
89.4,2,1038,21,3,2,63.3,2,208746,4.988
78.1,1,717,17,3,2,69.9,3,229403,5.49
96.6,5,429,30,4,3,63.2,2,202087,6.226
70.5,4,740,10,2,1,77.8,2,271645,5.171
70.4,22,80,1,3,2,55.6,2,164909,6.318
89.3,8,80,17,4,2,89.9,3,182390,7.596
70.2,2,581,19,2,1,95.5,2,104316,5.745
80.8,11,375,1,2,1,75.1,1,198116,6.338
82.3,12,694,12,3,2,72.7,2,179157,6.22
99.5,7,479,7,3,2,82.5,2,61123,7.812
116.7,11,1036,29,5,4,83.2,3,201216,7.917
133.6,10,352,19,4,3,62.8,3,164884,9.506
65.3,20,772,26,2,2,66.7,1,286625,4.027
57.8,1,679,19,2,2,94.8,2,214993,4.585
89.9,10,711,4,3,2,88.7,3,136662,7.451
93.4,13,80,19,4,3,77.7,2,174148,7.276
110.1,14,1015,7,4,3,86.5,4,250846,8.415
82.0,16,80,32,3,2,77.8,2,205818,6.251
58.1,7,1051,24,2,2,85.1,1,132702,4.018
73.1,6,517,14,3,2,80.8,2,126929,6.01
67.0,8,80,11,2,2,75.2,2,218917,5.837
106.7,17,815,19,4,3,85.2,3,159109,8.105
109.7,18,735,24,4,3,82.3,4,112571,7.931
130.3,8,922,14,4,3,97.0,3,196112,9.696
107.6,12,882,3,3,2,81.0,2,176865,8.102
100.0,13,394,15,3,2,74.1,2,146650,7.194
76.5,6,392,10,3,2,71.7,2,318548,5.846
64.2,13,611,14,2,2,85.0,2,194831,5.489
72.3,4,691,10,3,3,87.5,3,227823,6.121
120.0,6,205,13,4,3,82.7,3,88402,9.109
25.0,8,684,13,1,1,80.6,1,119132,2.547
122.8,5,966,37,4,3,52.1,3,104424,7.162
55.1,26,747,4,2,1,62.1,2,155187,5.033
54.4,16,570,24,2,1,79.9,2,227763,4.261
99.0,16,737,15,4,3,77.2,3,248869,7.593
93.9,19,729,25,4,3,76.6,3,247951,6.865
61.1,1,1134,13,3,3,79.2,3,202931,4.367
108.4,8,956,21,3,3,87.3,3,75309,7.67
125.3,5,537,8,4,3,84.0,4,142226,9.678
82.9,1,927,15,3,2,87.6,3,172886,6.073
101.4,7,837,12,3,2,82.5,3,154034,7.558
82.0,4,348,13,4,3,81.7,3,198763,6.646
89.3,9,848,18,4,3,78.7,3,218635,6.514
147.5,17,1284,14,6,4,69.6,5,252897,10.24
63.1,5,350,40,3,2,56.7,3,177022,3.935
78.3,14,771,19,3,2,82.1,3,174289,6.139
62.1,11,1294,20,2,2,86.5,3,50000,5.025
87.4,8,790,10,4,3,68.0,3,91949,6.455
87.7,15,577,5,3,2,93.6,2,51276,7.857
64.5,2,599,7,2,1,76.7,2,103761,4.827
96.3,1,764,30,3,3,82.2,2,76132,6.227
83.5,10,1006,6,3,2,72.6,2,250987,5.969
56.2,6,414,21,3,2,59.0,3,118592,4.335
128.2,10,508,24,4,3,75.2,3,153027,8.975
98.3,16,406,23,4,2,97.0,3,153325,8.004
118.5,5,589,16,4,2,70.1,4,219648,8.315
127.1,16,1335,6,4,3,92.4,4,137942,9.896
98.2,4,650,20,3,2,82.7,2,253580,6.67
119.0,18,1230,16,5,4,80.2,4,121219,8.804
56.8,7,421,33,2,1,82.0,2,62264,4.341
80.5,6,798,10,2,1,75.5,2,50000,6.039
87.6,14,1187,25,4,3,63.2,4,191938,6.334
104.7,12,1061,1,3,3,76.5,2,170801,7.928
84.7,20,634,18,3,3,81.3,2,236085,6.516
99.0,7,81,8,3,2,46.9,3,154045,7.285
84.5,23,648,22,3,2,84.8,2,205645,6.386
97.0,15,144,31,3,2,60.9,2,224697,6.661
70.9,5,148,25,3,2,88.4,3,163988,5.789
115.0,10,132,16,5,4,76.3,3,166635,9.081
91.9,17,204,37,3,2,60.9,2,148922,5.912
73.7,1,751,12,4,3,73.6,3,234680,5.746
71.0,1,1362,3,2,2,72.6,1,186783,4.641
109.9,17,1182,12,4,2,100.0,3,168062,8.475
120.8,2,912,3,4,3,72.9,4,86488,8.549
98.8,4,551,17,4,3,64.1,3,224755,6.969
45.2,8,239,27,1,1,91.2,0,186017,3.584
84.9,16,763,22,3,2,80.5,2,345208,5.715
136.0,10,485,20,5,4,92.3,4,173580,10.09
33.9,14,1346,21,1,1,75.7,1,166880,2.169
107.8,16,433,14,4,3,78.1,3,50000,8.619
82.2,10,684,10,3,2,62.7,2,310294,5.831
80.3,9,458,17,2,1,59.6,0,108817,4.996
67.6,15,724,3,2,2,74.5,2,104344,5.63
79.5,6,1002,1,3,2,81.3,2,273533,6.419
59.0,13,437,19,2,2,74.9,2,194311,4.685
79.6,8,592,15,2,1,87.4,2,134219,6.302
105.5,4,915,18,4,3,77.0,3,142518,7.164
32.9,1,1369,18,1,1,83.5,1,50000,2.12
80.6,1,1054,36,3,2,82.9,2,245250,4.693
85.4,17,966,27,4,3,100.0,3,296040,6.594
77.6,5,80,32,3,3,68.8,2,228889,5.518
61.2,9,988,3,2,1,70.0,1,206337,4.962
95.5,1,331,20,4,2,70.9,3,50000,7.191
105.9,4,819,16,3,2,92.4,2,262763,7.283
113.2,9,633,3,4,3,80.8,3,235772,8.615
84.1,2,950,11,2,1,70.1,1,152702,5.421
76.7,7,215,26,2,2,66.6,2,196375,5.466
62.5,19,1028,22,2,2,67.4,1,288901,3.785
50.2,10,80,23,2,1,60.8,1,197202,3.714
93.6,17,819,24,4,2,62.5,4,261961,6.192
84.3,10,388,18,3,2,83.6,3,132659,6.666
115.2,12,608,20,4,3,66.8,3,242861,7.886
52.0,8,456,19,3,2,91.2,2,181178,4.486
86.5,11,297,25,3,2,88.2,2,142526,6.648
109.7,25,720,34,4,2,68.2,3,187479,7.413
95.8,8,1561,10,4,3,57.8,3,189399,5.924
94.2,9,1041,1,2,2,81.2,2,152090,6.965
61.0,24,938,1,2,1,76.9,2,122478,5.43
96.2,11,363,13,4,3,97.6,3,215781,8.508
82.5,22,277,21,3,2,61.6,2,230517,6.099
114.1,17,948,19,4,3,84.3,3,187677,8.037
88.3,10,1379,22,3,2,72.6,2,172263,5.558
119.8,5,514,21,4,3,87.9,3,174098,8.597
84.4,13,985,7,3,2,57.5,2,129849,5.963
94.2,12,309,20,4,3,75.4,3,209568,7.233
77.7,4,537,30,3,2,74.2,2,194801,4.981
